Locus,GO ID,Type,GO term,TAIRLocus
LOC_Os01g01010,GO:0030234,F,enzyme regulator activity,AT3G59570
LOC_Os01g01010,GO:0007165,P,signal transduction,AT3G59570
LOC_Os01g01010,GO:0006139,P,"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",AT3G59570
LOC_Os01g01010,GO:0009056,P,catabolic process,AT3G59570
LOC_Os01g01010,GO:0005622,C,intracellular,AT3G59570
LOC_Os01g01030,GO:0005575,C,cellular_component,AT5G48450
LOC_Os01g01030,GO:0005488,F,binding,AT5G48450
LOC_Os01g01030,GO:0008152,P,metabolic process,AT5G48450
LOC_Os01g01030,GO:0005886,C,plasma membrane,AT5G48450
LOC_Os01g01030,GO:0003824,F,catalytic activity,AT5G48450
LOC_Os01g01040,GO:0003674,F,molecular_function,AT5G16520
LOC_Os01g01040,GO:0008150,P,biological_process,AT5G16520
LOC_Os01g01060,GO:0005840,C,ribosome,AT2G37270
LOC_Os01g01060,GO:0016020,C,membrane,AT2G37270
LOC_Os01g01060,GO:0005575,C,cellular_component,AT2G37270
LOC_Os01g01060,GO:0005773,C,vacuole,AT2G37270
LOC_Os01g01060,GO:0005618,C,cell wall,AT2G37270
LOC_Os01g01060,GO:0005829,C,cytosol,AT2G37270
LOC_Os01g01060,GO:0006412,P,translation,AT2G37270
LOC_Os01g01060,GO:0005198,F,structural molecule activity,AT2G37270
LOC_Os01g01060,GO:0005886,C,plasma membrane,AT2G37270
LOC_Os01g01060,GO:0009536,C,plastid,AT2G37270
LOC_Os01g01070,GO:0003674,F,molecular_function,AT1G24265
LOC_Os01g01070,GO:0008150,P,biological_process,AT1G24265
LOC_Os01g01080,GO:0003824,F,catalytic activity,AT1G27980
LOC_Os01g01080,GO:0016020,C,membrane,AT1G27980
LOC_Os01g01080,GO:0005783,C,endoplasmic reticulum,AT1G27980
LOC_Os01g01080,GO:0008152,P,metabolic process,AT1G27980
LOC_Os01g01080,GO:0009987,P,cellular process,AT1G27980
